,SMILES,pIC50,num_atoms,logP
10181,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0,28,3.748700000000002
10182,CC(=NN=C(N)N)c1cccs1,0.18,12,0.7455000000000004
10183,c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCO2,0.03,28,1.5574
10184,CC1CC(C)(C)CC(c2ccccc2)(N2CCCCC2)C1,0.0,21,5.214000000000005
10185,O=C(CC1CCCCC1)N1CCCCC1,0.0,15,2.9693000000000014
10186,CC(C)S(=O)(=O)n1c(N)nc2ccc(C(N=O)c3ccccc3)cc21,0.0,25,3.060600000000001
10187,CCN(CC)CC(=O)NC1c2ccccc2-c2ccccc21,0.0,22,3.2144000000000013
10188,CCN(CC)CC(=O)NCc1ccccc1,0.02,16,1.6445999999999994
10189,CCCN(CCC)CC(=O)NCc1ccccc1,0.0,18,2.4248000000000003
10190,O=C(CN1CCCCC1)NCc1ccccc1,0.02,17,1.7886999999999995
10191,O=C(CN1CCOCC1)NCc1ccccc1,0.23,17,0.6350000000000002
10192,CCCN(CCC)CC(=O)NC1c2ccccc2-c2ccccc21,0.0,24,3.994600000000003
10193,CCCCCCCCCCCCCc1cccc(O)c1,0.0,20,6.245700000000007
10194,COc1ccc(C2=NCC(=O)N(C)c3ccc(Cl)cc32)cc1,0.0,22,3.1624000000000017
10195,O=[n+]1[nH]c(-n2ccnc2)nc2ccc(Cl)cc21,0.05,17,1.3164999999999991
10196,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,0.0,22,3.6038000000000014
